year,month,day_endofweek,countyfips,initclaims_count_regular,initclaims_rate_regular
2020,1,11,29159,53,0.253
2020,1,11,29161,21,0.106
2020,1,11,29163,17,0.227
2020,1,11,29165,50,0.085
2020,1,11,29167,15,0.103
2020,1,11,29169,24,0.163
2020,1,11,29171,2,0.0873
2020,1,11,29173,10,0.177
2020,1,11,29175,12,0.116
2020,1,11,29177,85,0.77
2020,1,11,29179,5,0.164
2020,1,11,29181,15,0.298
2020,1,11,29183,655,0.288
2020,1,11,29185,1,0.0267
2020,1,11,29186,14,0.152
2020,1,11,29187,75,0.282
2020,1,11,29189,2103,0.394
2020,1,11,29195,15,0.141
2020,1,11,29197,4,0.205
2020,1,11,29199,1,0.0419
2020,1,11,29201,27,0.135
2020,1,11,29203,6,0.186
2020,1,11,29205,12,0.392
2020,1,11,29207,32,0.244
2020,1,11,29209,219,1.58
2020,1,11,29211,3,0.112
2020,1,11,29213,740,2.73
2020,1,11,29215,16,0.178
2020,1,11,29217,9,0.0951
2020,1,11,29219,98,0.545
2020,1,11,29221,30,0.293
2020,1,11,29223,9,0.17
2020,1,11,29225,15,0.0867
2020,1,11,29227,1,0.0855
2020,1,11,29229,18,0.24
2020,1,11,29510,338,0.221
2020,1,11,32001,35,0.317
2020,1,11,32003,2187,0.193
2020,1,11,32005,48,0.207
2020,1,11,32007,56,0.205
2020,1,11,32009,1,0.23
2020,1,11,32011,0,0
2020,1,11,32013,20,0.242
2020,1,11,32015,13,0.404
2020,1,11,32017,3,0.142
2020,1,11,32019,83,0.355
2020,1,11,32021,7,0.345
2020,1,11,32023,29,0.168
2020,1,11,32027,4,0.156
2020,1,11,32029,0,0
2020,1,11,32031,435,0.17
2020,1,11,32033,6,0.129
2020,1,11,32510,65,0.247
2020,1,11,36001,738,0.468
2020,1,11,36003,192,0.99
2020,1,11,36005,4842,0.81
2020,1,11,36007,705,0.845
2020,1,11,36009,417,1.23
2020,1,11,36011,321,0.892
2020,1,11,36013,513,0.941
2020,1,11,36015,224,0.641
2020,1,11,36017,224,1.02
2020,1,11,36019,449,1.24
2020,1,11,36021,160,0.514
2020,1,11,36023,257,1.12
2020,1,11,36025,160,0.839
2020,1,11,36027,673,0.468
2020,1,11,36029,3495,0.792
2020,1,11,36031,160,0.943
2020,1,11,36033,192,0.981
2020,1,11,36035,192,0.849
2020,1,11,36037,257,0.863
2020,1,11,36039,192,0.949
2020,1,11,36041,32.1,1.45
2020,1,11,36043,321,1.15
2020,1,11,36045,577,1.31
2020,1,11,36047,6830,0.57
2020,1,11,36049,160,1.38
2020,1,11,36051,289,0.939
2020,1,11,36053,321,0.979
2020,1,11,36055,2405,0.666
2020,1,11,36057,321,1.44
2020,1,11,36059,3335,0.471
2020,1,11,36061,4265,0.468
