FIPS,"Hospitalization Rate per 100,000",Unemployment Initial Claims,"Hospitals per 100,000"
19097,NaN,42.9768,5.1
19099,NaN,40.3764,2.7
19101,NaN,32.361,5.4
19103,NaN,38.2528,2.6
19105,NaN,37.3929,9.6
19107,NaN,34.8854,9.8
19109,NaN,26.6607,6.7
19111,NaN,51.244,8.8
19113,NaN,47.973,0.9
19115,NaN,37.7504,0
19117,NaN,26.6452,11.6
19119,NaN,13.3631,8.5
19121,NaN,42.8403,6.2
19123,NaN,44.8585,4.5
19125,NaN,44.916,9
19127,NaN,46.7998,2.5
19129,NaN,18.1804,6.6
19131,NaN,21.8583,9.5
19133,NaN,28.9173,11.5
19135,NaN,40.2695,12.8
19137,NaN,35.3446,10
19139,NaN,58.2524,2.3
19141,NaN,23.6134,14.5
19143,NaN,21.44,16.6
19145,NaN,41.5964,19.7
19147,NaN,27.1846,11.2
19149,NaN,24.5254,4
19151,NaN,18.3448,14.8
19153,NaN,42.0068,1.8
19155,NaN,26.5199,2.1
19157,NaN,37.8678,5.3
19159,NaN,21.4924,40.3
19161,NaN,21.1532,10.3
19163,NaN,43.3215,2.3
19165,NaN,21.8599,8.6
19167,NaN,16.65039,14.3
19169,NaN,25.1167,4.1
19171,NaN,36.6128,0
19173,NaN,27.3116,0
19175,NaN,44.475,8.1
19177,NaN,34.6282,14.2
19179,NaN,42.3722,2.8
19181,NaN,31.9479,0
19183,NaN,30.9277,4.5
19185,NaN,30.1309,15.6
19187,NaN,34.4483,2.8
19189,NaN,66.163,0
19191,NaN,34.4856,5
19193,NaN,32.3716,2.9
19195,NaN,38.4531,0
19197,NaN,30.3869,15.8
20001,NaN,None,16.1
20003,NaN,None,12.7
20005,NaN,None,6.2
20007,NaN,None,67.1
20009,NaN,None,11.5
20011,NaN,None,6.8
20013,NaN,None,20.8
20015,NaN,None,3
20017,NaN,None,0
20019,NaN,None,30.2
20021,NaN,None,10
20023,NaN,None,37.6
20025,NaN,None,99.8
20027,NaN,None,12.5
20029,NaN,None,11.5
20031,NaN,None,24.3
20033,NaN,None,57.2
20035,NaN,None,5.7
20037,NaN,None,5.1
20039,NaN,None,34.8
20041,NaN,None,10.7
20043,NaN,None,0
20045,NaN,None,0.8
20047,NaN,None,35.1
20049,NaN,None,0
20051,NaN,None,3.5
20053,NaN,None,16.1
20055,NaN,None,2.7
20057,NaN,None,3
20059,NaN,None,3.9
20061,NaN,None,6.1
20063,NaN,None,38.3
20065,NaN,None,40.1
20067,NaN,None,13.6
20069,NaN,None,0
20071,NaN,None,81.5
20073,NaN,None,16.5
20075,NaN,None,38.4
20077,NaN,None,54.5
20079,NaN,None,5.8
20081,NaN,None,25
20083,NaN,None,55
20085,NaN,None,7.5
20087,NaN,None,5.3
20089,NaN,None,35.2
20091,NaN,None,2.8
20093,NaN,None,25.4
20095,NaN,None,13.7
20097,NaN,None,39.7
20099,NaN,None,15
20101,NaN,None,64.1
20103,NaN,None,3.7
20105,NaN,None,33.1
20107,NaN,None,0
20109,NaN,None,35.2
20111,NaN,None,3
20113,NaN,None,10.5
20115,NaN,None,16.7
20117,NaN,None,10.3
20119,NaN,None,24.1
20121,NaN,None,5.9
20123,NaN,None,16.3
20125,NaN,None,6.2
20127,NaN,None,18.1
20129,NaN,None,37.5
20131,NaN,None,19.7
20133,NaN,None,6.3
20135,NaN,None,105.6
